                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2166,                 3.5931,                 1.2263,                0.74428,                 0.1501,                0.20824,                0.14454,                  1.032,                 2.9849,                 1.1904,               0.070357,              0.0032937,              0.0032937
                      1,                 1.1158,                 1.6933,                 1.1731,                 0.7176,                0.40853,                0.46408,                0.33004,                 1.0115,                 1.5044,                 1.2767,               0.040138,              0.0064083,              0.0064083
                      2,                 1.1308,                 1.2956,                 1.1849,                0.47965,                0.53275,                0.52848,                0.36109,                 1.0612,                 1.3671,                 1.3224,              0.0096998,              0.0093029,              0.0093029
                      3,                 1.1169,                 1.1222,                 1.1784,                0.69105,                0.60613,                0.68261,                0.45562,                  1.196,                 1.3194,                  1.421,                0.00901,                0.00901,                0.00901
                      4,                 1.0797,                 1.0221,                 1.1567,                0.80823,                0.76205,                0.85601,                0.60461,                 0.9864,                0.86548,                 1.2486,                0.00901,                0.00901,                0.00901
                      5,                 1.0571,                0.94873,                 1.1523,                0.83532,                0.83707,                0.89309,                0.63556,                 1.0049,                0.82875,                 1.3112,                0.00868,                0.00868,                0.00868
                      6,                  1.045,                0.90738,                 1.1547,                0.89487,                0.89537,                0.92895,                0.66905,                0.98216,                 0.7494,                 1.2562,                0.00835,                0.00835,                0.00835
                      7,                 1.0301,                0.87197,                 1.1353,                0.89419,                0.86164,                0.91722,                0.65582,                0.96746,                0.73847,                 1.2531,                0.00802,                0.00802,                0.00802
                      8,                  1.013,                0.83726,                 1.1373,                 0.8986,                 0.8794,                0.93587,                0.66446,                 1.0029,                 0.7294,                 1.2594,                0.00769,                0.00769,                0.00769
                      9,                  1.009,                0.80687,                 1.1331,                0.92139,                 0.9083,                0.94903,                0.68431,                0.96415,                0.64322,                 1.2515,                0.00736,                0.00736,                0.00736
                     10,                0.99152,                 0.7766,                 1.1218,                0.89543,                0.91095,                0.94893,                0.69029,                0.94341,                0.64339,                 1.2309,                0.00703,                0.00703,                0.00703
                     11,                0.98623,                0.74996,                 1.1236,                0.93423,                0.89085,                0.94561,                0.68637,                0.94207,                0.61568,                 1.2192,                 0.0067,                 0.0067,                 0.0067
                     12,                0.97524,                0.73336,                 1.1179,                0.94541,                0.92462,                0.95903,                0.69615,                 0.9631,                0.59192,                 1.2509,                0.00637,                0.00637,                0.00637
                     13,                0.96835,                0.71771,                 1.1176,                0.94759,                0.90382,                0.95231,                0.70905,                0.90765,                0.59578,                 1.2053,                0.00604,                0.00604,                0.00604
                     14,                0.96186,                0.69197,                  1.106,                0.94924,                0.92176,                0.95802,                0.71568,                0.90218,                0.54463,                 1.2038,                0.00571,                0.00571,                0.00571
                     15,                0.96537,                0.68232,                 1.1098,                 0.9504,                0.93756,                0.96284,                0.71662,                0.91002,                0.52697,                 1.2069,                0.00538,                0.00538,                0.00538
                     16,                0.95718,                0.67006,                 1.1043,                0.95047,                0.93711,                0.96574,                0.71915,                0.90771,                0.52274,                 1.2019,                0.00505,                0.00505,                0.00505
                     17,                0.94995,                0.65418,                 1.1066,                0.96122,                0.93428,                0.96311,                0.71842,                0.90702,                0.51159,                 1.2002,                0.00472,                0.00472,                0.00472
                     18,                0.94164,                0.64669,                 1.1029,                0.96048,                0.92903,                0.96476,                0.71763,                0.91101,                0.50754,                 1.2072,                0.00439,                0.00439,                0.00439
                     19,                 0.9392,                0.62744,                 1.0941,                0.95694,                0.94764,                0.96755,                0.72819,                0.89307,                0.48038,                 1.1925,                0.00406,                0.00406,                0.00406
                     20,                0.89117,                0.50636,                 1.1554,                0.96376,                 0.9436,                0.96515,                0.72855,                0.88029,                0.48055,                 1.1877,                0.00373,                0.00373,                0.00373
                     21,                0.88063,                0.48085,                 1.1465,                0.96564,                0.94173,                0.96638,                0.72524,                0.90392,                0.47199,                 1.2045,                 0.0034,                 0.0034,                 0.0034
                     22,                 0.8789,                0.46663,                 1.1428,                0.96035,                0.95409,                0.96942,                0.72831,                0.89592,                0.46055,                 1.1936,                0.00307,                0.00307,                0.00307
                     23,                0.87092,                0.45709,                 1.1428,                0.96024,                0.94269,                 0.9688,                0.72625,                0.89962,                0.46139,                 1.1931,                0.00274,                0.00274,                0.00274
                     24,                0.86234,                0.44485,                 1.1347,                0.96784,                0.94894,                0.96968,                0.73106,                0.89723,                0.44127,                 1.1932,                0.00241,                0.00241,                0.00241
                     25,                0.86186,                0.44001,                 1.1349,                0.96974,                0.94289,                0.97187,                0.73039,                0.91448,                0.43791,                 1.2026,                0.00208,                0.00208,                0.00208
                     26,                0.85624,                0.42869,                 1.1291,                0.96063,                0.95211,                0.96961,                0.73948,                0.87847,                0.42525,                 1.1847,                0.00175,                0.00175,                0.00175
                     27,                0.84644,                0.41703,                 1.1254,                0.97125,                 0.9514,                0.96919,                0.74554,                0.86872,                0.41576,                 1.1758,                0.00142,                0.00142,                0.00142
                     28,                0.83989,                0.40901,                 1.1256,                0.97383,                0.96004,                0.96858,                0.74343,                0.86676,                0.40929,                 1.1718,                0.00109,                0.00109,                0.00109
                     29,                0.83567,                0.40568,                  1.118,                0.97581,                0.95301,                0.96916,                0.74412,                0.86351,                0.40538,                 1.1696,                0.00076,                0.00076,                0.00076
